epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.832,0,116.483,0,0,0,0,0,0,155401,0,0.000361721,0.000361721,0.000361721
2,559.748,0,93.674,0,0,0,0,0,0,139.47,0,0.00071756,0.00071756,0.00071756
3,825.752,0,83.4521,0,0,0,0,0,0,3670.87,0,0.00105873,0.00105873,0.00105873
4,1096.81,0,73.1371,0,0,0,0,0,0,542.304,0,0.00104501,0.00104501,0.00104501
5,1369.26,0,62.7251,0,0,0,0,0,0,113.29,0,0.00102301,0.00102301,0.00102301
6,1684.6,0,52.425,0,0,0,0,0,0,89.7149,0,0.00100101,0.00100101,0.00100101
7,2004.83,0,42.7918,0,0,0,0,0,0,511.574,0,0.000979013,0.000979013,0.000979013
8,2340.07,0,34.119,0,0,0,0,0,0,1310.96,0,0.000957015,0.000957015,0.000957015
